"No","Nama Produk","Nomor Izin Edar / Notifikasi","Kandungan Bahan Berbahaya/Dilarang","Produsen / Pendaftar","Nomor Surat Public Warning"
"49","AVIONE Glamour Lipstik Red River 202","NA 18121301205","Merah K3 (CI Pigment Red 53)","PT. Beauty Link  untuk PT. Avione Surya Cemerlang","IN.05.03.1.43.11.15.5285 (30/11/2015)"
"50","AVIONE Lipstics Xp 311","NA18131301151","Merah K3 (CI Pigment Red 53)","PT Neo Kosmetika Industri untuk PT. AVIONe Surya Cemerlang","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"51","AVIONE Lipstics Xp 312","NA18131301147","Merah K3 (CI Pigment Red 53)","","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"52","AVIONE Lipstics Xp 313","NA 18131301148","Merah K3 (CI Pigment Red 53)","PT. Beauty Link  untuk PT. Avione Surya Cemerlang","IN.05.03.1.43.11.15.5285 (30/11/2015)"
"53","AVIONE Ls Excelent 792 Soft Silver Red","NA18131303275","Merah K3 (CI Pigment Red 53)","PT. Beauty Link untuk PT. AVIONe Surya Cemerlang","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"54","AVIONE Ls Excelent 793 Sun Kissed Coral","NA 18131303277","Merah K3 (CI Pigment Red 53)","PT. Beauty Link untuk PT. Avione Surya Cemerlang","IN.05.03.1.43.11.15.5285 (30/11/2015)"
"55","Azzalea by Camira - Queen Cream","-","Merkuri / raksa (Hg)","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"56","B Plus Miracle Gold Cream (Notification number 10-1-5718192)","-","Merkuri / raksa (Hg)","Beauty For You, Thailand","HM.01.1.4.01.20.02 (01/07/2020)"
"57","Baby Change Eye Shadow & Blush","-","Merah K10 (Rhodamin B)","China","KH.00.01.3352 (07/09/2006)"
"58","BabyFlo (botol kuning)","-","Metanol","Philusa Corporation","HM.01.1.2.10.21.49 (13/10/2021)"
"59","BabyFlo (botol merah)","-","Metanol","Philusa Corporation","HM.01.1.2.10.21.49 (13/10/2021)"
