"No","Nama Produk","Nomor Izin Edar / Notifikasi","Kandungan Bahan Berbahaya/Dilarang","Produsen / Pendaftar","Nomor Surat Public Warning"
"531","MARIMAR Lipstick Pencil 10","CD 0905502521 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K3 (CI Pigment Red 53)","UD. Fonda Mas untuk UD. Chandra","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"532","MARIMAR Lipstick Pencil 11","CD 0905502564 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K3 (CI Pigment Red 53)","UD. Fonda Mas untuk UD. Chandra","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"533","MARIMAR Lipstick Pencil 2","CD 0905502519 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K3 (CI Pigment Red 53)","UD. Fonda Mas untuk UD. Chandra","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"534","MARIMAR Lipstick Pencil 3","CD 0905502520 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K3 (CI Pigment Red 53)","UD. Fonda Mas untuk UD. Chandra","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"535","MARIMAR Lipstick Pencil 5","CD 0905502564 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K3 (CI Pigment Red 53)","UD. Fonda Mas untuk UD. Chandra","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"536","MARIMAR Lipstick Pencil 6","CD 0905502565 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K3 (CI Pigment Red 53)","UD. Fonda Mas untuk UD. Chandra","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"537","MARIMAR Lipstick Pencil 7","CD 0905502566 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K3 (CI Pigment Red 53)","UD. Fonda Mas untuk UD. Chandra","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"538","MARIMAR Lipstick Pencil 8","CD 0905502567 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K3 (CI Pigment Red 53)","UD. Fonda Mas untuk UD. Chandra","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"539","MARIMAR Lipstick Pencil 9","CD 0905502568 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K3 (CI Pigment Red 53)","UD. Fonda Mas untuk UD. Chandra","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"540","MARIMAR Lipstick with Vit. E No. 06","CD 0905502518 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K3 (CI Pigment Red 53)","","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"541","MARIMAR Lipstick with Vit. E No. 11","CD 0905502519 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K3 (CI Pigment Red 53)","","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"542","MARIMAR Lipstick with Vit. E No. B28","CD 0905502565 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K3 (CI Pigment Red 53)","","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"543","MARIMAR Professional Hair Colorant","CL 0701502070 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K10 (Rhodamin B)","Liying Factory","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"544","MARIMAR Professional Hair Colorant C-26","CL 0701703220 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merah K10 (Rhodamin B)","PT. Mustika Satya Nusantara","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"545","Mark Bich Cream","-","Merkuri / raksa (Hg)","","KH.00.01.2.3984 (02/09/2004)"
"546","MAXAM Toothpaste with Fluoride Spearmint ( Biru )","POM CL 1301301216","Diethylene Glycol (DEG)","Shanghai WhiteCat Shareholding Co. Ltd, - China","KH.00.01.432.6081 (01/08/2007)"
"547","MAXAM Toothpaste with Fluoride Wintergreen mint (Hijau)","POM CL 1301301093","Diethylene Glycol (DEG)","Shanghai WhiteCat Shareholding Co. Ltd, - China","KH.00.01.432.6081 (01/08/2007)"
"548","Maxi-peel Papaya Whitening Soap .","-","Asam Retinoat / Tretinoin","Splash Corporation, FLazaro St. canumay Valenzuela City","KH.00.01.432.6081 (01/08/2007)"
"549","Maxi-peel Solution 3 Exfoliant. Botol Plastik","-","Kadar Hidroquinon 4,94 %","Splash Corporation. FLazaro St. canumay Valenzuela City","KH.00.01.432.6081 (01/08/2007)"
"550","MAZAYA Dermo Whitening Serum With Astaxanthin","NA18151900435","Hidrokinon","PT. Immortal Cosmedika  untuk PT. Pesona Amaranthine Cosmetiques","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"551","MAZAYA Match Perfection 4 in 1 Powder Cake Whitening Natural","NA18151204839","Hidrokinon","PT. Immortal Cosmedika  untuk PT. Pesona Amaranthine Cosmetiques","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"552","MECO Bleaching Cream","CD 1006490130 (Izin Edar telah dibatalkan)","Asam Retinoat / Tretinoin","PT. Maha Siri Jaya, Jakarta","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"553","MEEI YUNG (kuning)","-","Merkuri / raksa (Hg)","Guang Zhou","KH.00.01.432.6147 (26/11/2008)"
"554","MEEI YUNG (putih)","-","Merkuri / raksa (Hg)","Guang Zhou","KH.00.01.432.6147 (26/11/2008)"
"555","Mei Yang Tang Cream pot Plastik","-","Merkuri / raksa (Hg)","","KH.00.01.432.6081 (01/08/2007)"
"556","MEIDU Hair Color Shampoo (Coffee Color Component)","-","Fenilendiamin","Guangzhou Meidu Cosmetics Co.,Ltd, China","HM.01.1.2.10.21.49 (13/10/2021)"
"557","MEILI Freckle Cream","-","Merkuri / raksa (Hg)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"558","Meixue Lipstick -Tube 4,5 gr","-","Merah K10 (Rhodamin B)","Zhejiang Yiwu Meixue Cos","KH.00.01.432.6081 (01/08/2007)"
"559","MEIXUE YIZU Eye Shadow","-","Merah K10 (Rhodamin B)","Meixue Cosmetic Co.Ltd","KH.00.01.432.6147 (26/11/2008)"
"560","Meiya Lipstick Essence Formulation with Rich Vitamins and Fruity Nutrition","-","Merah K10 (Rhodamin B)","Manufactured by Yiwu Meishi Cosmetics Co. Ltd.","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"561","Melusma Melasma Brightening Cream Notification number 10-1-5937869","-","Hidrokinon, Merkuri / raksa (Hg)","","HM.01.1.4.01.20.02 (01/07/2020)"
"562","MENOW-PRO POWDERY MATTE KISS PROOF SOFT LIPSTICK (12)","-","Dipalsukan","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"563","MERRY SUN","-","Asam Retinoat / Tretinoin","Philiphina","HM.01.1.2.10.21.49 (13/10/2021)"
"564","Mewangi Putih - Anjal - Gebu - Cantik Menawan Krim Penaik Seri 7 Bunga - Night Cream","-","Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"565","MH SARAH BEAUTY CARE Dermo Lightening Cream","NA18161900037","Hidrokinon","PT. Immortal Cosmedika Indonesia Untuk CV. Sarah Kharisma Beauty","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"566","Mila Velvet Matte Lipstick (Shade: Hot Damn)","-","Merah K10 (Rhodamin B)","Mila Cosmetics SG","HM.01.1.2.10.21.49 (13/10/2021)"
"567","MILK_SHAKE Creative Conditioning Permanent Colour 9.3 Golden Very Light Blond","-","Kadar p-fenilendiamin (0,0548% b/b) kurang dari data notifikasi (20%) (produk palsu)","Panzeri Diffusion Srl Via Brodolini 30 21046 Malnate (Va), Italy","PW.02.04.1.4.10.22.169 (04/10/2022)"
"568","Miracle White - Brightening Crea","-","Merkuri / raksa (Hg)","Miracle Surplus Sdn. Bhd. Manufactured by Miracle Cosmetics International, Pakistan","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"569","MIROCELL Cream Anti Jerawat","NA18110100613","Asam Retinoat / Tretinoin","PT. SUKMA SKIN TREATMENT","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"570","MIROCELL Cream Malam untuk Kulit Berminyak","NA18140101923","Asam Retinoat / Tretinoin","PT. SUKMA SKIN TREATMENT","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"571","MIROCELL Cream Malam untuk Kulit Normal","NA18140101922","Asam Retinoat / Tretinoin","PT. SUKMA SKIN TREATMENT","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"572","MIROCELL Lightening 3 Cream","NA18151900018","Asam Retinoat / Tretinoin","PT. SUKMA SKIN TREATMENT","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"573","MISS BEAUTY lipstick No. 07","-","Timbal (> 20 ppm)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"574","MISS GIRL Eyeshadow + Blush On No.2","NA11181204409, NA 11181204438 (Dibatalkan)","Merah K3 (CI Pigment Red 53)","PT Jenny Cosmetics","PW.02.04.1.4.10.22.168 (04/10/2022)"
"575","MISS GIRL Eyeshadow + Blush On No.3","NA11181204408, NA11181204437 (Dibatalkan)","Merah K3 (CI Pigment Red 53)","PT Jenny Cosmetics","PW.02.04.1.4.10.22.168 (04/10/2022)"
"576","MISS ROSE Matte 33 Orchid 7301-043B33","NA11191306045 (Dibatalkan)","Merah K3 (CI Pigment Red 53), Merah K10 (Rhodamin B)","PT Tirta Candra Mulia","PW.02.04.1.4.10.22.168 (04/10/2022)"
"577","MISS ROSE Matte 46 Love Bug 7301-043B46","NA11191306050 (Dibatalkan)","Merah K3 (CI Pigment Red 53)","PT Tirta Candra Mulia","PW.02.04.1.4.10.22.168 (04/10/2022)"
"578","MISS ROSE MAtte 48 Beeper 7301-043B48","NA11191306051 (Dibatalkan)","Merah K3 (CI Pigment Red 53)","PT Tirta Candra Mulia","PW.02.04.1.4.10.22.168 (04/10/2022)"
"579","MISS ROSE Matte 50 Loved 7301-043B50","NA11191306053 (Dibatalkan)","Merah K3 (CI Pigment Red 53), Merah K10 (Rhodamin B)","PT Tirta Candra Mulia","PW.02.04.1.4.10.22.168 (04/10/2022)"
"580","MISS ROSE Matte 52 Americano 7301-043B52","NA11191306054 (Dibatalkan)","Merah K3 (CI Pigment Red 53)","PT Tirta Candra Mulia","PW.02.04.1.4.10.22.168 (04/10/2022)"
"581","Mistine Ohh Lipstick 05","-","Merah K3 (CI Pigment Red 53)","Yiwu Diefei Cosmetics Co.,Ltd, China","HM.01.1.2.10.21.49 (13/10/2021)"
"582","MISTINE SUPER MATTE AIR MATTELIP COLOR No.18","-","Merah K10 (Rhodamin B)","JIABAO DAILYUSED CHEMICAL CO., LTD","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"583","MK Cosmetics Groove Eyes 12 Colors Eye Shadow No. 4","-","Merah K10 (Rhodamin B)","","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"584","Moleek Skincare Anti Pigmentation Cream Plus","-","Asam Retinoat / Tretinoin, Hidrokinon","Dby Smart Trading,","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"585","MONALIZA Lipstick No. 20 (with cartoon casing)","-","Timbal (> 20 ppm)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"586","MONALIZA Lipstick No.20 (Gold Case)","-","Timbal (> 20 ppm)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"587","MONALIZA Series Lipstick No. 5","-","Timbal (> 20 ppm)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"588","MONALIZA Series Lipstick No.20 (Gold Case)","-","Timbal (> 20 ppm)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"589","MONALIZA Series Lipstick No.20 (Pink Case)","-","Timbal (> 20 ppm)","","HM.03.03.1.43.12.14.7870 (19/12/2014)"
"590","MOOD Color Cream 12.71","-","Tidak ditemukan p-fenilendiamin yang diidentifikasi pada notifikasi (produk palsu)","","PW.02.04.1.4.10.22.169 (04/10/2022)"
"591","MOOD Color Cream 7.82","-","Tidak ditemukan p-fenilendiamin yang diidentifikasi pada notifikasi (produk palsu)","","PW.02.04.1.4.10.22.169 (04/10/2022)"
"592","MRC PS Crystal Cream","CL. 1006502008 ((Nomor fiktif))","Asam Retinoat / Tretinoin","CV. Ngongoh Cosmetic, Bekasi","KH.00.01.432.6147 (26/11/2008)"
"593","MRC Putri Salju Cream","CL. 1006502007 ((No.Pendaftaran telah dibatalkan))","Asam Retinoat / Tretinoin","CV. Ngongoh Cosmetic, Bekasi","KH.00.01.432.6147 (26/11/2008)"
"594","MUKKA 12 Colors Eye Shadow 02","NA 11141203709","Merah K10 (Rhodamin B)","Diproduksi oleh Yiwu Yaqi Cosmetics Co., Ltd., China Diimpor oleh PT. Dargiss Inti Sejahtera, Jakarta","IN.05.03.1.43.11.15.5285 (30/11/2015)"
"595","MUKKA 6 Colors Eyeshadow 01","NA 11141203716","Merah K10 (Rhodamin B)","Diproduksi oleh Yiwu Yaqi Cosmetics Co., Ltd., China Diimpor oleh PT. Dargiss Inti Sejahtera, Jakarta","IN.05.03.1.43.11.15.5285 (30/11/2015)"
"596","MUKKA 6 Colors Eyeshadow 02","NA 11141203724","Merah K10 (Rhodamin B)","Diproduksi oleh Yiwu Yaqi Cosmetics Co., Ltd., China Diimpor oleh PT. Dargiss Inti Sejahtera, Jakarta","IN.05.03.1.43.11.15.5285 (30/11/2015)"
"597","MUKKA Blush On 01","NA 11141203726","Merah K10 (Rhodamin B)","Diproduksi oleh Yiwu Yaqi Cosmetics Co., Ltd., China Diimpor oleh PT. Dargiss Inti Sejahtera, Jakarta","IN.05.03.1.43.11.15.5285 (30/11/2015)"
"598","MUKKA Blush On 02","NA 11141203728","Merah K10 (Rhodamin B)","Diproduksi oleh Yiwu Yaqi Cosmetics Co., Ltd., China Diimpor oleh PT. Dargiss Inti Sejahtera, Jakarta","IN.05.03.1.43.11.15.5285 (30/11/2015)"
"599","MUKKA Blush On 03","NA 11141203729","Merah K10 (Rhodamin B)","Diproduksi oleh Yiwu Yaqi Cosmetics Co., Ltd., China Diimpor oleh PT. Dargiss Inti Sejahtera, Jakarta","IN.05.03.1.43.11.15.5285 (30/11/2015)"
"600","MUKKA Blush On 04","NA 11141203725","Merah K10 (Rhodamin B)","Diproduksi oleh Yiwu Yaqi Cosmetics Co., Ltd., China Diimpor oleh PT. Dargiss Inti Sejahtera, Jakarta","IN.05.03.1.43.11.15.5285 (30/11/2015)"
"601","MUKKA Blusher No. 01","NA11151202500","Merah K10 (Rhodamin B)","PT. DARGISS INTI SEJAHTERA JAKARTA - INDONESIA, Made In China","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"602","MUKKA Eyepalette","NA 11141203935","Merah K10 (Rhodamin B)","Yiwu Yaqi Cosmetics Co., Ltd., China Diimpor oleh PT. Dargiss Inti Sejahtera","IN.05.03.1.43.11.15.5285 (30/11/2015)"
"603","MUKKA Lip Balm 02","NA11141302201","Merah K10 (Rhodamin B)","PT. DARGISS INTI SEJAHTERA JAKARTA - INDONESIA, Made In China","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"604","MUKKA Lip Balm 03","NA11141302202","Merah K10 (Rhodamin B)","PT. DARGISS INTI SEJAHTERA JAKARTA - INDONESIA, Made In China","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"605","MUKKA Lip Balm 04","NA11141302205","Merah K10 (Rhodamin B)","PT. DARGISS INTI SEJAHTERA JAKARTA - INDONESIA, Made In China","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"606","MUKKA Lip Balm 05","NA11141302204","Sudan IV","PT. DARGISS INTI SEJAHTERA JAKARTA - INDONESIA, Made In China","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"607","MUKKA Lip Balm 06","NA11141302203","Merah K10 (Rhodamin B)","PT. DARGISS INTI SEJAHTERA JAKARTA - INDONESIA, Made In China","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"608","MUKKA Lip Gloss 05","NA 11141301753","Merah K10 (Rhodamin B)","Yiwu Yaqi Cosmetics Co., Ltd., China Diimpor oleh PT. Dargiss Inti Sejahtera","IN.05.03.1.43.11.15.5285 (30/11/2015)"
"609","MUKKA Lip Gloss 09","NA 11141301755","Merah K10 (Rhodamin B)","Yiwu Yaqi Cosmetics Co., Ltd., China Diimpor oleh PT. Dargiss Inti Sejahtera","IN.05.03.1.43.11.15.5285 (30/11/2015)"
"610","MUKKA Lip Gloss 10","NA 11141301746","Merah K10 (Rhodamin B)","Yiwu Yaqi Cosmetics Co., Ltd., China Diimpor oleh PT. Dargiss Inti Sejahtera","IN.05.03.1.43.11.15.5285 (30/11/2015)"
"611","MUKKA Lip Gloss 11","NA11141301747","Merah K10 (Rhodamin B)","PT. DARGISS INTI SEJAHTERA JAKARTA - INDONESIA, Made In China","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"612","MUKKA Nail Polish 21","NA11141500759","Sudan IV","PT. DARGISS INTI SEJAHTERA JAKARTA - INDONESIA, Made In China","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"613","Multiple Eye Shadow & Two Way Cake Camco","-","Merah K10 (Rhodamin B)","Thailamei Cosmetic Industrial Comp Thailand","KH.00.01.2.3984 (02/09/2004)"
"614","Myrina Night Cream Notification number 10-1-6010021734","-","Betamethasone 17-valerate, Clobetasol propionate dan Merkuri / raksa (Hg)","Mireena, Thailand","HM.01.1.4.01.20.02 (01/07/2020)"
"615","NARWASTU Body Contour","NA18130102194","Teofilin","UD. Narwastu","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
"616","Natural 99 Krim malam putih / Pot plastik","-","Merkuri / raksa (Hg)","","KH.00.01.432.6081 (01/08/2007)"
"617","Natural 99 Vitamin E Jingga / Pot plastik","-","Merkuri / raksa (Hg)","","KH.00.01.432.6081 (01/08/2007)"
"618","Natural 99 Vitamin E Putih / Pot plastik","-","Merkuri / raksa (Hg)","","KH.00.01.432.6081 (01/08/2007)"
"619","NATURAL BELLE Color Fix Lipstick No. 313","-","Jingga K1 (Pigment Orange 5","","KH.00.01.43.2503 (11/06/2009)"
"620","NATURALITE ORGANIC BEAUTY ORGANIC PERMANENT HAIR COLOUR 3.0 DARK BROWN","-","p-phenylenediamine 1.09% w/w","ELEY SRL VIA G. DI VITTORIO, ITALY","HM.01.1.4.01.20.02 (01/07/2020)"
"621","NEW BRILLIANT SKIN ESSENTIAL REJUVENATING FACIAL TONER","-","Asam Retinoat / Tretinoin, Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"622","New Citra Gold - Pearly White UV Day Cream","-","Merkuri / raksa (Hg)","Milott Laboratory Co., Ltd., Thailand","HM.01.1.4.01.20.02 (01/07/2020)"
"623","New Rody Specia (kuning)","-","Merkuri / raksa (Hg)","Shenzhen Jiachuntang Cosmetics Co LTD.,China","KH.00.01.432.6147 (26/11/2008)"
"624","New Rody Specia (putih)","-","Merkuri / raksa (Hg)","Shenzhen Jiachuntang Cosmetics Co LTD.,China","KH.00.01.432.6147 (26/11/2008)"
"625","New Rody Special","-","Merkuri / raksa (Hg)","Rosedew Daily Chemical Factory","KH.00.01.2.3984 (02/09/2004)"
"626","NEW SPECIAL 99 Black","-","Merkuri/ raksa (Hg)","","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"627","NICHE Day Cream","NA 18140102288","Merkuri / raksa (Hg)","Pasifik Ocean, Indonesia","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"628","NICHE Night Cream","NA 18140102281","Merkuri / raksa (Hg)","Pasifik Ocean, Indonesia","IN.05.03.1.43.06.16.2848 (30/06/2016)"
"629","NIGAO LIFE COLOR 11.71 ULTRA BRIGHT ASH GREEN BLONDE (Notification number 10-2- 100036786)","-","Dipalsukan dan p phenylenediamine 0.180% w/w lebih dari yang di notifikasikan","HESHAN THE BANGLI FINE CHEMICAL CO. ,LTD., CHINA","HM.01.1.4.01.20.02 (01/07/2020)"
"630","Night Cream SJ SIN JUNG","-","Merkuri/ raksa (Hg)","","HM.03.03.1.43.12.12.8256 (27/12/2012)"
"631","Night Cream Small","-","Merkuri/ raksa (Hg)","""Herbal Clinic """"Green Alvina""""""","HM.03.03.1.43.12.12.8256 (27/12/2012)"
"632","Night Cream Vitamin E & Herbal","CD.1006600699 (Tidak Terdaftar (Nomor Fiktif))","Merkuri / raksa (Hg)","PT. Locos, Bandung","KH.00.01.432.6147 (26/11/2008)"
"633","NISCE PEEL WHITE CREAM","-","Hidrokinon","ETN Beauty Concepts, Inc., TN Arcade, Ortega St., San Fernando, City, La Union","HM.01.1.4.01.20.02 (01/07/2020)"
"634","Nouvelles Viseges NV Sensitive Skin Toner for Normal to Sensitive Skin","-","Hidrokinon","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"635","NP BEAUTY FB","-","Merkuri / raksa (Hg)","","PW.02.04.1.4.10.22.169 (04/10/2022)"
"636","NP BEAUTY FM Cream","-","Merkuri / raksa (Hg)","","PW.02.04.1.4.10.22.169 (04/10/2022)"
"637","NUOBEIBER Blush On","-","Merah K3 (CI Pigment Red 53), Merah K10 (Rhodamin B)","","KH.00.01.432.6147 (26/11/2008)"
"638","NUOBEIBER Blusher","-","Merah K3 (CI Pigment Red 53)","Taizhou Zhongcun Tianyuan","KH.00.01.432.6147 (26/11/2008)"
"639","NUOBEIBER Pro-make up Blusher No. 5","-","Merah K3 (CI Pigment Red 53)","Taizhou Zhongcun Tianyuan","KH.00.01.432.6147 (26/11/2008)"
"640","Nuriz Shoppe -UV Pearl Cream","-","Merkuri / raksa (Hg)","Progressive Mix Industries, Malaysia","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"641","Nuriz- D'solve","-","Merkuri / raksa (Hg)","Progressive Mix Industries, Malaysia","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"642","NV Anti Blemish Toner 1","-","Asam Retinoat / Tretinoin, Hidrokinon","QEMRICH SDN. BHD., Malaysia","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"643","NXY Pro Mineral Eyeshadow & Blusher","-","Merah K10 (Rhodamin B)","China","HM.01.1.2.10.21.49 (13/10/2021)"
"644","NYX Soft Matte Lip Cream","-","Merah K10 (Rhodamin B)","China","HM.01.1.2.10.21.49 (13/10/2021)"
"645","O-Ping Wink Winner Ping Whitening Cream Notification number 10-1-5725377","-","Betamethasone 17-valerate, Clobetasol propionate dan Merkuri / raksa (Hg)","O-PING WINK WINNER, Thailand","HM.01.1.4.01.20.02 (01/07/2020)"
"646","O2 MAX 3REVITALIZING SERUM","-","Dipalsukan","","HM.01.1.4.01.20.02 (01/07/2020)"
"647","OASIS Bedbath Maceratable Unperfumed","-","Cemaran mikroba","","PW.02.04.1.4.10.22.169 (04/10/2022)"
"648","OBAGI NU-DERM Blender Skin Lightener & Blending Cream PM 5","-","Hidrokinon","Produsen: USA, Distributor: Obagi Medical Products, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"649","OBAGI NU-DERM Sunfader Skin Lightener With Sunscreen (SPF 15) AM 6","-","Hidrokinon","Produsen: USA, Distributor: Obagi Medical Products, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"650","OBAGI NU-DERM Tolereen Anti-Pruritic Lotion","-","Hidrokortison","Produsen: USA, Distributor: Obagi Medical Products, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"651","OBAGI-C RX System Clarifying Serum AM","-","Hidrokinon","Produsen: USA, Distributor: Obagi Medical Products, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"652","OBAGI-C RX System Ctherapy Night Cream PM","-","Hidrokinon","Produsen: USA, Distributor: Obagi Medical Products, Jakarta","KH.00.01.43.2503 (11/06/2009)"
"653","Ocean Dite Gluta Wink White Cream","-","Merkuri / raksa (Hg)","Thailand","HM.01.1.4.01.20.02 (01/07/2020)"
"654","OLAY 4 in 1 Complete Make Up","-","Merah K10 (Rhodamin B)","","KH.00.01.43.2503 (11/06/2009)"
"655","OLAY Tatal White","-","Merkuri / raksa (Hg)","Procte & Gamble, Malaysia","KH.00.01.43.2503 (11/06/2009)"
"656","OLAY Total White Krim Pemutih","-","Merkuri / raksa (Hg)","Procte & Gamble, Malaysia","KH.00.01.43.2503 (11/06/2009)"
"657","OMOHOLIC whitening body lotion","-","Clobetasol propionate","-","B-HM.01.01.1.44.11.18.5410 (14/11/2018)"
"658","Orange coloured cream (red cap jar)","-","Merkuri / raksa (Hg)","Queens Beauty SG Pte Ltd, Singapore","HM.01.1.2.10.21.49 (13/10/2021)"
"659","ORIFLAME Optimals Bleaching Cream","CD 2005888548 (Tanpa Izin Edar (Nomor Izin Edar fiktif))","Merkuri/ raksa (Hg)","PT. Onndo Alam Ayu","HM.04.01.1.23.12.11.10567 (27/12/2011)"
"660","OWAY Hcolor Intense Ash Supper Bleaching Blond","-","Tidak ditemukan p-fenilendiamin yang diidentifikasi pada notifikasi (produk palsu)","","PW.02.04.1.4.10.22.169 (04/10/2022)"
"661","Oxy Cream By Viprolabs","-","Clotrimazole","China","HM.01.1.2.10.21.49 (13/10/2021)"
"662","OXYGLOW","-","Isobutilparaben","Jothi Store and Flower Shop, India","HM.01.1.2.10.21.49 (13/10/2021)"
"663","OZERA Lipstick-131","NA11161301173","Merah K3 (CI Pigment Red 53)","Import by : PT. ADI PARAMA WARDHANA JAKARTA - INDONESIA, Made in China","B-IN.05.03.1.43.12.17.5965 (11/12/2017)"
"664","OZERA Lipstick-22","NA11161301174","Merah K3 (CI Pigment Red 53)","Import by : PT. ADI PARAMA WARDHANA JAKARTA - INDONESIA, Made in China","B-IN.05.03.1.43.12.17.5965 (11/12/2017)"
"665","OZERA Lipstick-29","NA11161301172","Merah K10 (Rhodamin B)","Import by : PT. ADI PARAMA WARDHANA JAKARTA - INDONESIA, Made in China","B-IN.05.03.1.43.12.17.5965 (11/12/2017)"
"666","OZERA Lipstick-53","NA11161301141","Merah K10 (Rhodamin B)","Import by : PT. ADI PARAMA WARDHANA JAKARTA - INDONESIA, Made in China","B-IN.05.03.1.43.12.17.5965 (11/12/2017)"
"667","OZERA Lipstick-54","NA11161301176","Merah K10 (Rhodamin B)","Import by : PT. ADI PARAMA WARDHANA JAKARTA - INDONESIA, Made in China","B-IN.05.03.1.43.12.17.5965 (11/12/2017)"
"668","OZERA Lipstick-57","NA11161301140","Merah K10 (Rhodamin B)","Import by : PT. ADI PARAMA WARDHANA JAKARTA - INDONESIA, Made in China","B-IN.05.03.1.43.12.17.5965 (11/12/2017)"
"669","OZERA Lipstick-66","NA11161301137","Merah K3 (CI Pigment Red 53)","Import by : PT. ADI PARAMA WARDHANA JAKARTA - INDONESIA, Made in China","B-IN.05.03.1.43.12.17.5965 (11/12/2017)"
"670","OZERA Lipstick-77","NA11161301175","Merah K3 (CI Pigment Red 53), Merah K10 (Rhodamin B)","Import by : PT. ADI PARAMA WARDHANA JAKARTA - INDONESIA, Made in China","B-IN.05.03.1.43.12.17.5965 (11/12/2017)"
"671","OZERA Lipstick-80","NA11161301139","Merah K10 (Rhodamin B)","Import by : PT. ADI PARAMA WARDHANA JAKARTA - INDONESIA, Made in China","B-IN.05.03.1.43.12.17.5965 (11/12/2017)"
"672","OZERA Lipstick-82","NA11161301138","Merah K3 (CI Pigment Red 53), Merah K10 (Rhodamin B)","Import by : PT. ADI PARAMA WARDHANA JAKARTA - INDONESIA, Made in China","B-IN.05.03.1.43.12.17.5965 (11/12/2017)"
"673","OZERA Nail Polish Color No. 20","NA11151501339","Merah K10 (Rhodamin B)","PT Adi Parama Wardhana","B-IN.05.03.1.43.12.16.4139 (06/12/2016)"
