english_name,indonesian_name,is_dangerous
"2-METHYL-4-(2,6, 6-TRIMETHYL-2-CYCLOHEXENYL)-2-BUTENAL","2-METHYL-4-(2,6, 6-TRIMETHYL-2-CYCLOHEXENYL)-2-BUTENAL",False
"2-METHYL-4-(2,6, 6-TRIMETHYL-2-CYCLOHEXENYL)-3-BUTENAL","2-METHYL-4-(2,6, 6-TRIMETHYL-2-CYCLOHEXENYL)-3-BUTENAL",False
2-METHYL-4-HYDROXYPYRROLIDINE,2-METHYL-4-HYDROXYPYRROLIDINE,False
2-METHYL-5-HYDROXYETHYLAMINOPHENOL,2-METHYL-5-HYDROXYETHYLAMINOPHENOL,False
2-METHYL-5-METHYLVINYL-CYCLOHEXANOL,2-METHYL-5-METHYLVINYL-CYCLOHEXANOL,False
2-METHYLBUTANE-2-THIOL,2-METHYLBUTANE-2-THIOL,False
2-METHYLBUTANOL,2-METHYLBUTANOL,False
2-METHYLBUTYL BUTYRATE,2-METHYLBUTYL BUTYRATE,False
2-METHYLBUTYL ISOVALERATE,2-METHYLBUTYL ISOVALERATE,False
2-METHYLBUTYRALDEHYDE,2-METHYLBUTYRALDEHYDE,False
2-METHYLBUTYRIC ACID,2-METHYLBUTYRIC ACID,False
2-METHYLDODECANAL,2-METHYLDODECANAL,False
2-METHYLFURAN-3-THIOL,2-METHYLFURAN-3-THIOL,False
2-METHYLNAPHTHALENE,2-METHYLNAPHTHALENE,False
2-METHYLPENT-2-ENOIC ACID,2-METHYLPENT-2-ENOIC ACID,False
2-METHYLPENT-2-ENYL ACETATE,2-METHYLPENT-2-ENYL ACETATE,False
2-METHYLPENT-3-ENOIC ACID,2-METHYLPENT-3-ENOIC ACID,False
2-METHYLPENTYL 2-METHYLVALERATE,2-METHYLPENTYL 2-METHYLVALERATE,False
2-METHYLPROPANAL,2-METHYLPROPANAL,False
2-METHYLPROPANOL,2-METHYLPROPANOL,False
2-METHYLRESORCINOL,2-METHYLRESORCINOL,False
2-NITRO-5-GLYCERYL METHYLANILINE,2-NITRO-5-GLYCERYL METHYLANILINE,False
2-NONYLCROTONALDEHYDE,2-NONYLCROTONALDEHYDE,False
2-NONYN-1-AL DIMETHYLACETAL,2-NONYN-1-AL DIMETHYLACETAL,False
2-O-CRESYLETHANOL,2-O-CRESYLETHANOL,False
2-O-ETHYL ASCORBIC ACID,2-O-ETHYL ASCORBIC ACID,False
2-OCTANOL,2-OCTANOL,False
2-OCTENAL,2-OCTENAL,False
"2-OLEAMIDO-1,3-OCTADECANEDIOL","2-OLEAMIDO-1,3-OCTADECANEDIOL",False
"2-OLEAMIDO-1,3, 4-OCTADECATRIYL PROLINATE","2-OLEAMIDO-1,3, 4-OCTADECATRIYL PROLINATE",False
2-P-CRESYLETHANOL,2-P-CRESYLETHANOL,False
2-P-CRESYLOXYETHYL ACETATE,2-P-CRESYLOXYETHYL ACETATE,False
2-PENTANOL,2-PENTANOL,False
2-PHENYLPROPYLPYRIDINE,2-PHENYLPROPYLPYRIDINE,False
2-PHENYLPROPYLTETRAHYDROFURAN,2-PHENYLPROPYLTETRAHYDROFURAN,False
2-PROPANOL/BORON TRIFLUORIDE/ETHYLIDENEBICYCLOHEPTENE,2-PROPANOL/BORON TRIFLUORIDE/ETHYLIDENEBICYCLOHEPTENE,False
2-PROPYL-5-CYCLOHEXYLPENTANOL,2-PROPYL-5-CYCLOHEXYLPENTANOL,False
2-SEC-BUTYLCYCLOHEXANONE,2-SEC-BUTYLCYCLOHEXANONE,False
2-T-BUTYLCYCLOHEXYL ACETATE,2-T-BUTYLCYCLOHEXYL ACETATE,False
2-T-BUTYLCYCLOHEXYLOXYBUTANOL,2-T-BUTYLCYCLOHEXYLOXYBUTANOL,False
2-TERT-BUTYL-4-METHYL-CYCLOHEXANOL ACETATE,2-TERT-BUTYL-4-METHYL-CYCLOHEXANOL ACETATE,False
2-TERT-BUTYL-4-METHYLCYCLOHEXANOL,2-TERT-BUTYL-4-METHYLCYCLOHEXANOL,False
2-TERT-BUTYL-5-METHYLANISOLE,2-TERT-BUTYL-5-METHYLANISOLE,False
2-TERT-BUTYLCYCLOHEXANOL,2-TERT-BUTYLCYCLOHEXANOL,False
2-TERT-BUTYLCYCLOHEXANONE,2-TERT-BUTYLCYCLOHEXANONE,False
2-TERT-BUTYLCYCLOHEXYL PROPIONATE,2-TERT-BUTYLCYCLOHEXYL PROPIONATE,False
2-TERT-BUTYLHYDROQUINONE METHYL ETHER,Hidrokuinon,True
"2-TRANS, 6-CIS-NONADIENOL","2-TRANS, 6-CIS-NONADIENOL",False
"2-TRANS, 6-TRANS-NONADIENAL DIETHYL ACETAL","2-TRANS, 6-TRANS-NONADIENAL DIETHYL ACETAL",False
"2-TRANS, 6-TRANS-NONADIENYL ACETATE","2-TRANS, 6-TRANS-NONADIENYL ACETATE",False
2-UNDECENENITRILE,2-UNDECENENITRILE,False
2-UNDECENOL,2-UNDECENOL,False
"2,2-DIMETHYL-3-PHENYLPROPIONALDEHYDE","2,2-DIMETHYL-3-PHENYLPROPIONALDEHYDE",False
"2,2'-METHYLENEBIS-4-AMINOPHENOL","2,2'-METHYLENEBIS-4-AMINOPHENOL",False
"2,2'-METHYLENEBIS-4-AMINOPHENOL HCL","2,2'-METHYLENEBIS-4-AMINOPHENOL HCL",False
"2,2'-THIOBIS(4-CHLOROPHENOL)","2,2'-THIOBIS(4-CHLOROPHENOL)",False
"2,3-BUTANEDIOL","2,3-BUTANEDIOL",False
"2,3-DIAMINODIHYDROPYRAZOLO PYRAZOLONE DIMETHOSULFONATE","2,3-DIAMINODIHYDROPYRAZOLO PYRAZOLONE DIMETHOSULFONATE",False
"2,3-DIETHYLPYRAZINE","2,3-DIETHYLPYRAZINE",False
"2,3-DIHYDRO-2,2, 6-TRIMETHYLBENZALDEHYDE","2,3-DIHYDRO-2,2, 6-TRIMETHYLBENZALDEHYDE",False
